omega,omega_reference_ratio,length,separation_speed,contact_offset,gliding_contact_occurs,tau_contact_supported,tau_contact,tau_contact_status
0.785398163397448,0.5,2,1,0,no,no,,undetermined_from_source_note
1.17809724509617,0.75,2,1,0,no,no,,undetermined_from_source_note
1.49225651045515,0.95,2,1,0,no,no,,undetermined_from_source_note
1.5707963267949,1,2,1,0,no,no,,undetermined_from_source_note
1.64933614313464,1.05,2,1,0,yes,no,,undetermined_from_source_note
1.96349540849362,1.25,2,1,0,yes,no,,undetermined_from_source_note
2.35619449019234,1.5,2,1,0,yes,no,,undetermined_from_source_note
0.785398163397448,0.5,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.17809724509617,0.75,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.49225651045515,0.95,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.5707963267949,1,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.64933614313464,1.05,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.96349540849362,1.25,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
2.35619449019234,1.5,2,1,0.2,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
0.785398163397448,0.5,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.17809724509617,0.75,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.49225651045515,0.95,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.5707963267949,1,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.64933614313464,1.05,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.96349540849362,1.25,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
2.35619449019234,1.5,2,1,0.4,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
0.785398163397448,0.5,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.17809724509617,0.75,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.49225651045515,0.95,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.5707963267949,1,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.64933614313464,1.05,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.96349540849362,1.25,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
2.35619449019234,1.5,2,1,0.6,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
0.785398163397448,0.5,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.17809724509617,0.75,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.49225651045515,0.95,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.5707963267949,1,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.64933614313464,1.05,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
1.96349540849362,1.25,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
2.35619449019234,1.5,2,1,0.8,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_contact_offset
